,nom_dept,nom_com,nom_station,x_wgs84,y_wgs84
0,ARIEGE,SAINT-GIRONS,St-Girons Urbain,1.13943,42.99
1,AVEYRON,RODEZ,Rodez - Camonil Urbain,2.5707,44.357
2,GARD,ALES,Ales Vauban fond,4.07548,44.1259
3,GARD,LA CALMETTE,La Calmette - Périurbain,4.26581,43.9254
4,GARD,NIMES,Nîmes - Planas - Trafic,4.36199,43.8299
5,GARD,NIMES,Nîmes Sud - Urbain,4.37422,43.8344
6,GARD,SAZE,Saze - rural,4.67969,43.9429
7,GERS,AUCH,AUCH ST EXUPERY,0.59467,43.6511
8,GERS,GAUDONVILLE,Gaudonville Rural,0.845617,43.884
9,GERS,PEYRUSSE-VIEILLE,Peyrusse Vieille Rural,0.179722,43.6303
10,HAUTE-GARONNE,BELESTA-EN-LAURAGAIS,Belesta en Lauragais Rural,1.82194,43.4414
11,HAUTE-GARONNE,BESSIERES,Bessières-ECONOTRE Industriel,1.59583,43.8039
12,HAUTE-GARONNE,BLAGNAC,Blagnac Aéroport Piste ,1.37725,43.6253
13,HAUTE-GARONNE,BLAGNAC,Blagnac Aéroport Trafic ,1.37572,43.6335
14,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,Saint Gaudens-Miramont Industriel,0.744722,43.0944
15,HAUTE-GARONNE,MONTGISCARD,Montgiscard Périurbain,1.57111,43.4575
16,HAUTE-GARONNE,SAINT-GAUDENS,Saint Gaudens-Daurat Industriel,0.718889,43.1064
17,HAUTE-GARONNE,TOULOUSE,Station Pedagogique,1.38541,43.597
18,HAUTE-GARONNE,TOULOUSE,Toulouse - Port de l Embouchure Trafic,1.41518,43.6103
19,HAUTE-GARONNE,TOULOUSE,Toulouse - Rte Albi Trafic,1.46765,43.6431
20,HAUTE-GARONNE,TOULOUSE,Toulouse-Berthelot Urbain,1.44403,43.5873
21,HAUTE-GARONNE,TOULOUSE,Toulouse-Jacquier Urbain,1.41807,43.5757
22,HAUTE-GARONNE,TOULOUSE,Toulouse-Mazades Urbain,1.43861,43.6236
23,HAUTE-GARONNE,TOULOUSE,Toulouse-Périphérique Trafic,1.44959,43.574
24,HAUTE-GARONNE,TOULOUSE,Toulouse-SETMI Chapitre Industriel,1.40392,43.5564
25,HAUTE-GARONNE,TOULOUSE,Toulouse-SETMI Eisenhower Industriel,1.39326,43.5616
26,HAUTES-PYRENEES,ARGELES-GAZOST,Argeles-Gazost,-0.0950538,43.0075
27,HAUTES-PYRENEES,LOURDES,Lourdes-Lapaca Urbain,-0.038889,43.0969
28,HAUTES-PYRENEES,TARBES,Tarbes-Dupuy Urbain,0.062222,43.2303
29,HERAULT,AGDE,Agathois-Piscénois - Périurbain,3.50483,43.2878
30,HERAULT,BEZIERS,Beziers Leclerc trafic,3.23734,43.3412
31,HERAULT,CORNEILHAN,Biterrois-Narbonnais - Rural,3.18881,43.4068
32,HERAULT,LATTES,Montpellier Sud - Périurbain,3.91156,43.5706
33,HERAULT,LUNEL-VIEL,Lunel-Viel - Industriel,4.08842,43.6758
34,HERAULT,MONTPELLIER,Montpelier Antigone Trafic,3.89574,43.6088
35,HERAULT,MONTPELLIER,Montpellier - Chaptal Urbain,3.86472,43.6117
36,HERAULT,MONTPELLIER,Montpellier - Pompignane Trafic,3.89861,43.61
37,HERAULT,MONTPELLIER,Montpellier - Prés d Arènes Urbain,3.88689,43.5915
38,HERAULT,MONTPELLIER,Montpellier - Saint Denis Trafic,3.8746,43.605
39,HERAULT,MONTPELLIER,Montpellier Liberte Trafic,3.82806,43.6116
40,HERAULT,SAINT-GELY-DU-FESC,Montpellier Nord - Périurbain,3.80082,43.6954
41,PYRENEES-ORIENTALES,PERPIGNAN,Perpignan Centre - Urbain,2.8997,42.6958
42,PYRENEES-ORIENTALES,PERPIGNAN,Perpignan-Pyrenees Trafic,2.88845,42.6959
43,PYRENEES-ORIENTALES,SAINT-ESTEVE,Saint Estève - Périurbain,2.83987,42.7198
44,TARN,ALBI,Albi Urbain,2.14611,43.9281
45,TARN,CASTRES,Castres-Travet Urbain,2.23,43.6106
46,TARN-ET-GARONNE,MONTAUBAN,Montauban - Ramierou Urbain,1.37531,44.0129
